enclosingFolder3,enclosingFolder2,enclosingFolder1,filename,xVoxel,yVoxel,zVoxel,unit,xPixels,yPixels,zPixels,path,voxelVolume,genotype,sex,myCellNumber,nMask,vMask,nEroded,vEroded,nRing,vRing,nBranches,nInNoMask,nInMask,nInEroded,nInRing,lenTotal,lenInMask,lenInEroded,lenInRing,dInMask,dInEroded,dInRing
200421,WT Male,Cell 10,WT Male 10_3ADVMLEG1L1_ch2.tif,0.1801393161443197,0.1801393161443197,0.43000000000006366,micron,451,202,22,/Users/cudmore/Desktop/samiVolume2/200421/WT Male/Cell 10/WT Male 10_3ADVMLEG1L1_ch2.tif,0.013953574485007622,wt,male,35,223921,3124.4983522573916,45725,638.0271933269736,140104,1954.951599647508,818,0,818,266,292,1493.0928403423984,1493.0928403423984,470.82838672367654,506.78880149564407,0.47786641950496367,2.3401711650513057,0.7637492614198806
200421,WT Male,Cell 2,WT Male 2_3ADVMLEG1L1_ch2.tif,0.16572817562943976,0.16572817562943976,0.43000000000006366,micron,512,221,40,/Users/cudmore/Desktop/samiVolume2/200421/WT Male/Cell 2/WT Male 2_3ADVMLEG1L1_ch2.tif,0.011810306124910594,wt,male,36,292654,3456.333328679585,72741,859.0934778321215,173663,2051.0131925703486,905,0,905,308,387,1616.1115763174248,1616.1115763174248,521.7183708009466,694.717589370047,0.4675797796779121,1.8811824533874937,0.7879576699807079
200421,WT Male,Cell 3,WT Male 3_3ADVMLEG1L1_ch2.tif,0.2762136413078605,0.2762136413078605,0.43000000000006366,micron,474,242,32,/Users/cudmore/Desktop/samiVolume2/200421/WT Male/Cell 3/WT Male 3_3ADVMLEG1L1_ch2.tif,0.032806409527160255,wt,male,37,338145,11093.323349561604,41263,1353.6908763192137,198084,6498.4248247780115,1377,607,770,165,354,3159.9325162687815,1696.3594810231575,350.1359949267167,754.0492846390584,0.15291715814721976,1.2531365252572917,0.2610416411304882
200421,WT Male,Cell 4,WT Male 4_3ADVMLEG1L1_ch2.tif,0.2071602023706585,0.2071602023706585,0.4299999999998363,micron,471,162,35,/Users/cudmore/Desktop/samiVolume2/200421/WT Male/Cell 4/WT Male 4_3ADVMLEG1L1_ch2.tif,0.018453600261881413,wt,male,38,237609,4384.741504625381,1518,28.012565197535984,170321,3143.035650203904,810,276,534,1,355,1751.267158928246,1104.4572466222367,0.4421575042770248,728.5132305096911,0.2518865126843089,39.4272084271449,0.35139825618923065
200421,WT Male,Cell 5,WT Male 5_3ADVMLEG1L1_ch2.tif,0.25895029319646945,0.25895029319646945,0.43000000000006366,micron,495,164,38,/Users/cudmore/Desktop/samiVolume2/200421/WT Male/Cell 5/WT Male 5_3ADVMLEG1L1_ch2.tif,0.028833759369015388,wt,male,39,234941,6774.232259915844,74559,2149.816264794418,127814,3685.358119991333,836,0,836,515,143,1806.767385823107,1806.767385823107,1094.2346421348798,300.16123252681285,0.2667117566242927,0.8404287451959918,0.4902555808680422
200421,WT Male,Cell 6,WT Male 6_3ADVMLEG1L1_ch2.tif,0.0898742703894387,0.0898742703894387,0.43000000000006366,micron,512,512,31,/Users/cudmore/Desktop/samiVolume2/200421/WT Male/Cell 6/WT Male 6_3ADVMLEG1L1_ch2.tif,0.0034732753255551072,wt,male,40,490540,1703.7804781978023,96106,333.80259843779913,291187,1011.372622222415,1618,8,1610,326,943,2232.8996881769885,2217.943025813571,379.8372053499538,1307.6622607565234,1.3017774614718154,6.644475016652283,2.193002833060488
200421,WT Male,Cell 7,WT Male 7_3ADVMLEG1L1_ch2.tif,0.2071602023706585,0.2071602023706585,0.43000000000006366,micron,456,146,20,/Users/cudmore/Desktop/samiVolume2/200421/WT Male/Cell 7/WT Male 7_3ADVMLEG1L1_ch2.tif,0.01845360026189117,wt,male,41,178577,3295.3885739677394,22816,421.0373435753089,122254,2256.026446417243,554,0,554,27,427,1070.5824804112196,1070.5824804112196,39.622126391975165,839.7617604616138,0.3248729114582711,2.5427257148265987,0.4745434088821935
200421,WT Male,Cell 8,WT Male 8_3ADVMLEG1L1_ch2.tif,0.1801393161443197,0.1801393161443197,0.43000000000006366,micron,472,256,31,/Users/cudmore/Desktop/samiVolume2/200421/WT Male/Cell 8/WT Male 8_3ADVMLEG1L1_ch2.tif,0.013953574485007622,wt,male,42,345836,4825.648385597096,81938,1143.3279861525546,211339,2948.934478087026,1119,0,1119,181,632,2134.549683046721,2134.549683046721,294.55748621314035,1164.7269376620245,0.44233427562141053,1.8669618070224578,0.7238376094511952
200421,WT Male,Cell 9,WT Male 9_3ADVMLEG1L1_ch2.tif,0.1534519946917886,0.1534519946917886,0.43000000000006366,micron,454,223,28,/Users/cudmore/Desktop/samiVolume2/200421/WT Male/Cell 9/WT Male 9_3ADVMLEG1L1_ch2.tif,0.010125431310203648,wt,male,43,229624,2325.0420391742027,909,9.204017060975117,133699,1353.7600407429175,1079,585,494,0,425,1804.9943552502755,796.0857379590803,0,687.6260680497708,0.34239627694724617,86.49329229673758,0.5880552786313621
200108,BIN1smKO_Female,Cell_2,2_5ADVMLEG1L1_ch2.tif,0.13365174525121984,0.13365174525121984,0.43000000000006366,micron,502,229,31,/Users/cudmore/Desktop/samiVolume2/200108/BIN1smKO_Female/Cell_2/2_5ADVMLEG1L1_ch2.tif,0.007680999273740832,ko,female,0,293702,2255.9248486962297,74124,569.3463901667654,174427,1339.773660320792,974,0,974,150,636,1649.8133432145507,1649.8133432145507,241.73545017738894,1048.6661864187784,0.7313246024875474,2.8977321569235017,1.231411985528603
