,myCellNumber,filename,genotype,sex,branchType,len3d,euclideanDist,tortuosity,path
4219,4,Female WT cell 10_3ADVMLEG1L1_ch2.tif,wt,female,0,3.671196950734619,2.134582884216719,1.719866198628196,/Users/cudmore/box/data/sami/data/200421/WT Female/Cell 10/Female WT cell 10_3ADVMLEG1L1_ch2.tif
4220,4,Female WT cell 10_3ADVMLEG1L1_ch2.tif,wt,female,0,1.2067405063361754,1.1508899601884146,1.048528137423857,/Users/cudmore/box/data/sami/data/200421/WT Female/Cell 10/Female WT cell 10_3ADVMLEG1L1_ch2.tif
4221,4,Female WT cell 10_3ADVMLEG1L1_ch2.tif,wt,female,0,1.0275379460245855,0.8299185527752075,1.2381190209431374,/Users/cudmore/box/data/sami/data/200421/WT Female/Cell 10/Female WT cell 10_3ADVMLEG1L1_ch2.tif
4222,4,Female WT cell 10_3ADVMLEG1L1_ch2.tif,wt,female,2,1.1406842098181178,0.8931248846672313,1.277183324976019,/Users/cudmore/box/data/sami/data/200421/WT Female/Cell 10/Female WT cell 10_3ADVMLEG1L1_ch2.tif
4223,4,Female WT cell 10_3ADVMLEG1L1_ch2.tif,wt,female,2,1.3740822830004435,0.8898231177841645,1.5442195820020728,/Users/cudmore/box/data/sami/data/200421/WT Female/Cell 10/Female WT cell 10_3ADVMLEG1L1_ch2.tif
4224,4,Female WT cell 10_3ADVMLEG1L1_ch2.tif,wt,female,2,1.4357183279144607,1.3621963093032086,1.053973144772988,/Users/cudmore/box/data/sami/data/200421/WT Female/Cell 10/Female WT cell 10_3ADVMLEG1L1_ch2.tif
4225,4,Female WT cell 10_3ADVMLEG1L1_ch2.tif,wt,female,1,1.2206934873881956,0.6622480357236292,1.8432572413059116,/Users/cudmore/box/data/sami/data/200421/WT Female/Cell 10/Female WT cell 10_3ADVMLEG1L1_ch2.tif
4226,4,Female WT cell 10_3ADVMLEG1L1_ch2.tif,wt,female,2,1.505459567854183,1.3621963093032086,1.1051707874794172,/Users/cudmore/box/data/sami/data/200421/WT Female/Cell 10/Female WT cell 10_3ADVMLEG1L1_ch2.tif
4227,4,Female WT cell 10_3ADVMLEG1L1_ch2.tif,wt,female,0,0.3255208380994975,0.3255208380994975,1.0,/Users/cudmore/box/data/sami/data/200421/WT Female/Cell 10/Female WT cell 10_3ADVMLEG1L1_ch2.tif
4228,4,Female WT cell 10_3ADVMLEG1L1_ch2.tif,wt,female,2,1.1898745407696136,0.9400735214591327,1.2657249817256346,/Users/cudmore/box/data/sami/data/200421/WT Female/Cell 10/Female WT cell 10_3ADVMLEG1L1_ch2.tif
4229,4,Female WT cell 10_3ADVMLEG1L1_ch2.tif,wt,female,2,2.2564862801841445,2.0058548834382375,1.1249499147796274,/Users/cudmore/box/data/sami/data/200421/WT Female/Cell 10/Female WT cell 10_3ADVMLEG1L1_ch2.tif
4230,4,Female WT cell 10_3ADVMLEG1L1_ch2.tif,wt,female,1,0.7242008150929488,0.49795113166512467,1.4543612194860487,/Users/cudmore/box/data/sami/data/200421/WT Female/Cell 10/Female WT cell 10_3ADVMLEG1L1_ch2.tif
